Age,Number of Referrals,Churn,Contract,Dependents,Married,Premium Tech Support,Referred a Friend
48,1,Yes,Month-to-month,Yes,Yes,No,Yes
69,0,Yes,Month-to-month,No,No,No,No
63,0,Yes,Month-to-month,No,No,No,No
23,1,Yes,Month-to-month,Yes,Yes,No,Yes
54,0,Yes,Month-to-month,No,No,No,No
27,0,Yes,Month-to-month,No,No,No,No
48,1,Yes,Month-to-month,Yes,Yes,No,Yes
26,0,Yes,Month-to-month,No,No,No,No
72,1,Yes,Month-to-month,No,Yes,No,Yes
69,0,Yes,Month-to-month,No,No,No,No
29,0,Yes,Month-to-month,No,No,Yes,No
51,0,Yes,Month-to-month,No,No,No,No
73,0,Yes,Month-to-month,No,No,No,No
37,0,Yes,Month-to-month,Yes,No,No,No
38,0,Yes,Month-to-month,No,No,No,No
31,1,Yes,Month-to-month,No,Yes,No,Yes
49,0,Yes,Month-to-month,No,No,No,No
45,0,Yes,Month-to-month,No,No,No,No
37,1,Yes,Month-to-month,No,Yes,No,Yes
24,1,Yes,One year,No,Yes,No,Yes
42,0,Yes,Month-to-month,No,No,No,No
63,0,Yes,Month-to-month,No,No,No,No
41,0,Yes,Month-to-month,No,No,Yes,No
65,0,Yes,One year,No,No,No,No
58,0,Yes,One year,No,No,No,No
33,0,Yes,Month-to-month,No,No,Yes,No
61,0,Yes,Month-to-month,No,No,No,No
54,1,Yes,Month-to-month,No,Yes,No,Yes
27,0,Yes,Month-to-month,No,No,No,No
20,0,Yes,One year,No,No,No,No
25,0,Yes,Two year,No,No,Yes,No
62,0,Yes,Month-to-month,No,No,No,No
24,1,Yes,Month-to-month,No,Yes,Yes,Yes
41,1,Yes,Month-to-month,Yes,Yes,No,Yes
74,1,Yes,Month-to-month,No,Yes,No,Yes
21,1,Yes,One year,Yes,Yes,No,Yes
58,1,Yes,One year,No,Yes,Yes,Yes
65,0,Yes,Month-to-month,No,No,No,No
45,0,Yes,Month-to-month,No,No,No,No
66,0,Yes,One year,No,No,No,No
59,1,Yes,One year,Yes,Yes,No,Yes
21,0,Yes,Month-to-month,No,No,No,No
41,0,Yes,One year,Yes,No,No,No
58,0,Yes,Month-to-month,No,No,No,No
71,1,Yes,Month-to-month,No,Yes,No,Yes
55,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,No,No,No,No
46,1,Yes,Month-to-month,No,Yes,Yes,Yes
24,0,Yes,One year,No,Yes,No,No
58,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,Yes,No
53,0,Yes,Month-to-month,No,No,Yes,No
40,0,Yes,Month-to-month,No,No,No,No
48,3,Yes,Month-to-month,Yes,Yes,No,Yes
55,6,Yes,Month-to-month,Yes,Yes,No,Yes
39,0,Yes,Month-to-month,No,No,No,No
64,0,Yes,Month-to-month,No,No,Yes,No
27,0,Yes,Month-to-month,No,No,No,No
36,0,Yes,Month-to-month,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
69,0,Yes,Month-to-month,No,No,No,No
75,0,Yes,Month-to-month,No,Yes,No,No
75,0,Yes,Month-to-month,No,No,No,No
37,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
71,0,Yes,Month-to-month,No,No,No,No
80,0,Yes,Month-to-month,No,No,No,No
21,1,Yes,Month-to-month,No,Yes,No,Yes
36,0,Yes,Month-to-month,No,No,No,No
66,0,Yes,Month-to-month,No,No,Yes,No
53,0,Yes,Month-to-month,No,No,No,No
57,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
73,2,Yes,Month-to-month,No,Yes,No,Yes
30,0,Yes,Two year,No,No,Yes,No
51,0,Yes,Month-to-month,No,No,No,No
77,1,Yes,One year,No,Yes,No,Yes
41,0,Yes,Month-to-month,No,No,No,No
76,1,Yes,Month-to-month,No,Yes,No,Yes
28,0,Yes,Month-to-month,No,No,Yes,No
61,0,Yes,Month-to-month,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
46,0,Yes,Month-to-month,No,No,No,No
75,1,Yes,Month-to-month,No,Yes,No,Yes
33,0,Yes,Month-to-month,No,No,Yes,No
26,0,Yes,Month-to-month,No,No,No,No
39,1,Yes,Month-to-month,Yes,Yes,No,Yes
53,1,Yes,Month-to-month,Yes,Yes,No,Yes
27,1,Yes,One year,Yes,Yes,No,Yes
75,0,Yes,Month-to-month,No,No,No,No
62,1,Yes,Month-to-month,Yes,Yes,No,Yes
68,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
71,0,Yes,Month-to-month,No,No,No,No
44,1,Yes,Month-to-month,No,Yes,No,Yes
74,0,Yes,Month-to-month,No,No,No,No
37,1,Yes,Month-to-month,Yes,Yes,No,Yes
50,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,Yes,No
55,0,Yes,Month-to-month,No,No,No,No
58,1,Yes,Month-to-month,No,Yes,No,Yes
26,0,Yes,Month-to-month,No,No,No,No
40,0,Yes,Month-to-month,No,No,No,No
49,1,Yes,Month-to-month,Yes,Yes,No,Yes
21,0,Yes,Month-to-month,No,No,Yes,No
64,0,Yes,Month-to-month,No,No,No,No
54,1,Yes,Month-to-month,No,Yes,No,Yes
46,0,Yes,Month-to-month,No,No,No,No
42,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,No,Yes,No
51,0,Yes,Month-to-month,No,No,No,No
73,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
74,1,Yes,Month-to-month,No,Yes,No,Yes
63,1,Yes,One year,Yes,Yes,No,Yes
21,1,Yes,Month-to-month,Yes,Yes,No,Yes
59,0,Yes,Month-to-month,No,No,Yes,No
62,0,Yes,Month-to-month,No,Yes,No,No
27,0,Yes,One year,No,No,No,No
65,1,Yes,Month-to-month,No,Yes,No,Yes
23,0,Yes,Month-to-month,No,No,No,No
51,1,Yes,Month-to-month,No,Yes,No,Yes
73,5,Yes,Month-to-month,No,Yes,Yes,Yes
38,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
54,4,Yes,Month-to-month,Yes,Yes,No,Yes
74,1,Yes,Month-to-month,No,Yes,No,Yes
41,0,Yes,Month-to-month,Yes,No,No,No
57,0,Yes,Month-to-month,No,No,No,No
33,9,Yes,One year,No,Yes,No,Yes
32,0,Yes,Month-to-month,No,No,No,No
55,0,Yes,Month-to-month,No,No,Yes,No
42,0,Yes,Month-to-month,No,No,Yes,No
80,0,Yes,Month-to-month,No,No,No,No
19,0,Yes,Month-to-month,No,No,No,No
31,0,Yes,Month-to-month,No,No,No,No
48,1,Yes,One year,No,Yes,No,Yes
26,0,Yes,Month-to-month,No,No,No,No
34,0,Yes,Month-to-month,No,No,No,No
58,1,Yes,Month-to-month,Yes,Yes,No,Yes
62,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
58,0,Yes,Month-to-month,No,No,No,No
37,1,Yes,Month-to-month,Yes,Yes,No,Yes
40,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
47,1,Yes,Month-to-month,Yes,Yes,No,Yes
36,1,Yes,Month-to-month,No,Yes,Yes,Yes
36,1,Yes,Month-to-month,Yes,Yes,No,Yes
44,0,Yes,Month-to-month,No,No,No,No
76,0,Yes,Month-to-month,No,No,No,No
49,0,Yes,Month-to-month,No,No,No,No
47,0,Yes,Month-to-month,No,No,No,No
46,0,Yes,Month-to-month,No,No,Yes,No
23,0,Yes,Month-to-month,No,No,No,No
53,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
53,0,Yes,Month-to-month,No,No,Yes,No
73,0,Yes,One year,No,No,No,No
70,1,Yes,Month-to-month,No,Yes,No,Yes
43,1,Yes,One year,No,Yes,No,Yes
75,1,Yes,Month-to-month,No,Yes,No,Yes
20,1,Yes,Month-to-month,No,Yes,No,Yes
35,0,Yes,Month-to-month,No,No,No,No
41,1,Yes,Month-to-month,No,Yes,No,Yes
74,1,Yes,Month-to-month,No,Yes,No,Yes
30,0,Yes,One year,No,No,Yes,No
76,0,Yes,Month-to-month,No,No,No,No
27,0,Yes,Month-to-month,No,No,No,No
35,1,Yes,Month-to-month,No,Yes,No,Yes
54,1,Yes,Month-to-month,No,Yes,Yes,Yes
50,1,Yes,One year,Yes,Yes,Yes,Yes
42,0,Yes,Month-to-month,Yes,No,No,No
34,0,Yes,Month-to-month,Yes,Yes,No,No
75,0,Yes,Month-to-month,No,No,No,No
33,1,Yes,One year,No,Yes,No,Yes
74,0,Yes,Month-to-month,No,No,No,No
44,0,Yes,Month-to-month,No,No,No,No
35,0,Yes,Month-to-month,No,No,No,No
28,0,Yes,Month-to-month,No,Yes,No,No
58,0,Yes,Month-to-month,Yes,No,No,No
49,1,Yes,Month-to-month,Yes,Yes,No,Yes
38,1,Yes,Month-to-month,No,Yes,No,Yes
47,0,Yes,Month-to-month,No,No,Yes,No
34,0,Yes,Month-to-month,No,No,No,No
73,0,Yes,Month-to-month,No,No,No,No
28,0,Yes,Month-to-month,No,No,No,No
43,0,Yes,Month-to-month,No,No,No,No
23,1,Yes,Month-to-month,No,Yes,No,Yes
63,1,Yes,Month-to-month,No,Yes,No,Yes
69,0,Yes,Month-to-month,No,No,No,No
39,0,Yes,One year,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
19,1,Yes,Month-to-month,No,Yes,No,Yes
75,1,Yes,Month-to-month,No,Yes,No,Yes
34,1,Yes,One year,No,Yes,No,Yes
39,0,Yes,One year,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
27,0,Yes,Month-to-month,Yes,No,No,No
20,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
36,1,Yes,Month-to-month,No,Yes,No,Yes
67,0,Yes,Month-to-month,No,No,No,No
62,1,Yes,Month-to-month,No,Yes,No,Yes
37,0,Yes,Month-to-month,No,No,No,No
20,0,Yes,Month-to-month,No,No,Yes,No
50,0,Yes,Month-to-month,No,No,No,No
78,0,Yes,Month-to-month,No,No,No,No
28,0,Yes,Month-to-month,Yes,No,Yes,No
61,1,Yes,Month-to-month,No,Yes,No,Yes
53,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
19,0,Yes,Month-to-month,No,No,No,No
27,0,Yes,Month-to-month,No,No,Yes,No
36,1,Yes,Month-to-month,Yes,Yes,No,Yes
35,0,Yes,Month-to-month,No,No,No,No
52,1,Yes,One year,Yes,Yes,No,Yes
21,0,Yes,Month-to-month,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
47,0,Yes,Month-to-month,No,No,Yes,No
74,0,Yes,Month-to-month,No,No,No,No
44,1,Yes,One year,Yes,Yes,No,Yes
70,0,Yes,Month-to-month,No,No,No,No
69,0,Yes,Month-to-month,No,No,No,No
62,0,Yes,Month-to-month,No,No,No,No
76,0,Yes,Month-to-month,No,No,No,No
49,0,Yes,Month-to-month,No,No,No,No
45,0,Yes,Month-to-month,No,No,No,No
51,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
42,0,Yes,Month-to-month,No,No,No,No
56,0,Yes,Month-to-month,No,No,No,No
55,1,Yes,Month-to-month,No,Yes,No,Yes
50,1,Yes,One year,No,Yes,No,Yes
58,0,Yes,Month-to-month,No,No,No,No
44,1,Yes,One year,No,Yes,No,Yes
20,0,Yes,Month-to-month,No,No,Yes,No
39,0,Yes,Month-to-month,No,No,No,No
59,0,Yes,Month-to-month,No,No,No,No
71,0,Yes,Month-to-month,No,No,No,No
76,0,Yes,Month-to-month,No,No,No,No
62,0,Yes,Month-to-month,No,No,No,No
38,1,Yes,One year,Yes,Yes,Yes,Yes
54,0,Yes,Month-to-month,No,No,Yes,No
77,1,Yes,Month-to-month,No,Yes,No,Yes
53,1,Yes,Month-to-month,Yes,Yes,No,Yes
74,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
33,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
76,1,Yes,Month-to-month,No,Yes,Yes,Yes
34,1,Yes,One year,Yes,Yes,No,Yes
77,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
21,1,Yes,One year,No,Yes,No,Yes
46,1,Yes,Month-to-month,No,Yes,No,Yes
80,1,Yes,Month-to-month,No,Yes,No,Yes
55,0,Yes,One year,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,No,No,No
79,0,Yes,Month-to-month,No,No,No,No
61,1,Yes,Month-to-month,Yes,Yes,No,Yes
30,0,Yes,Month-to-month,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
19,1,Yes,Month-to-month,Yes,Yes,No,Yes
37,0,Yes,Month-to-month,Yes,Yes,No,No
32,0,Yes,Month-to-month,No,No,No,No
44,1,Yes,Month-to-month,No,Yes,No,Yes
57,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,Yes,No,No,No
41,1,Yes,Month-to-month,No,Yes,Yes,Yes
37,0,Yes,Month-to-month,No,No,No,No
35,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
31,0,Yes,Month-to-month,No,No,No,No
46,0,Yes,Month-to-month,No,No,No,No
41,1,Yes,One year,Yes,Yes,No,Yes
22,1,Yes,Month-to-month,No,Yes,No,Yes
59,0,Yes,Month-to-month,Yes,No,No,No
39,0,Yes,Month-to-month,No,No,Yes,No
23,0,Yes,Month-to-month,No,No,No,No
50,0,Yes,Month-to-month,No,No,No,No
72,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
56,0,Yes,Month-to-month,No,No,No,No
50,0,Yes,Month-to-month,No,No,No,No
47,1,Yes,Month-to-month,Yes,Yes,No,Yes
40,0,Yes,Month-to-month,No,No,Yes,No
66,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
33,0,Yes,Month-to-month,No,No,No,No
39,0,Yes,One year,Yes,No,No,No
60,0,Yes,Month-to-month,Yes,No,No,No
35,0,Yes,Month-to-month,No,No,No,No
26,0,Yes,Month-to-month,No,No,Yes,No
32,0,Yes,Month-to-month,No,No,No,No
20,1,Yes,Month-to-month,No,Yes,No,Yes
35,0,Yes,Month-to-month,No,No,No,No
63,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
69,1,Yes,Month-to-month,No,Yes,No,Yes
76,1,Yes,Month-to-month,No,Yes,No,Yes
44,0,Yes,Month-to-month,Yes,No,No,No
47,0,Yes,Month-to-month,No,No,No,No
70,1,Yes,Month-to-month,No,Yes,No,Yes
71,0,Yes,Month-to-month,No,No,No,No
44,0,Yes,Month-to-month,No,No,Yes,No
57,0,Yes,Month-to-month,No,No,No,No
53,0,Yes,Two year,Yes,Yes,Yes,No
28,0,Yes,Month-to-month,No,No,No,No
36,1,Yes,Month-to-month,No,Yes,No,Yes
47,0,Yes,Month-to-month,No,No,No,No
29,0,Yes,Month-to-month,No,No,No,No
75,0,Yes,Month-to-month,No,No,No,No
67,0,Yes,Month-to-month,No,No,No,No
31,1,Yes,Month-to-month,No,Yes,No,Yes
46,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,No,No,No
55,0,Yes,Month-to-month,No,No,No,No
38,0,Yes,Month-to-month,No,No,No,No
61,0,Yes,Month-to-month,No,No,No,No
65,1,Yes,Month-to-month,No,Yes,Yes,Yes
35,0,Yes,Month-to-month,No,No,No,No
30,1,Yes,Month-to-month,Yes,Yes,No,Yes
80,0,Yes,Month-to-month,No,No,No,No
71,1,Yes,Month-to-month,No,Yes,No,Yes
70,0,Yes,Month-to-month,No,No,No,No
21,0,Yes,Month-to-month,No,No,Yes,No
54,0,Yes,Month-to-month,No,No,No,No
50,0,Yes,Month-to-month,No,No,No,No
27,1,Yes,Month-to-month,Yes,Yes,No,Yes
43,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
45,1,Yes,Month-to-month,Yes,Yes,No,Yes
60,0,Yes,Month-to-month,No,No,No,No
40,0,Yes,Month-to-month,Yes,No,No,No
41,0,Yes,Month-to-month,No,No,No,No
29,0,Yes,Month-to-month,No,Yes,No,No
41,0,Yes,Month-to-month,Yes,No,No,No
55,0,Yes,Month-to-month,No,No,No,No
35,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,One year,No,No,Yes,No
35,1,Yes,Month-to-month,No,Yes,No,Yes
39,1,Yes,Month-to-month,No,Yes,No,Yes
73,0,Yes,Month-to-month,No,No,No,No
33,1,Yes,Month-to-month,No,Yes,Yes,Yes
64,1,Yes,Month-to-month,Yes,Yes,No,Yes
46,1,Yes,Month-to-month,Yes,Yes,No,Yes
36,1,Yes,Month-to-month,Yes,Yes,No,Yes
78,1,Yes,One year,No,Yes,No,Yes
76,0,Yes,Month-to-month,No,No,No,No
37,3,Yes,Month-to-month,Yes,Yes,No,Yes
73,0,Yes,Month-to-month,No,No,No,No
23,1,Yes,Month-to-month,No,Yes,No,Yes
48,0,Yes,Month-to-month,No,No,No,No
39,0,Yes,Two year,No,No,No,No
23,0,Yes,Month-to-month,No,No,No,No
35,1,Yes,One year,Yes,Yes,No,Yes
25,0,Yes,Month-to-month,No,No,No,No
58,0,Yes,Month-to-month,No,No,No,No
33,0,Yes,Month-to-month,Yes,No,Yes,No
30,0,Yes,Month-to-month,No,No,No,No
29,1,Yes,Month-to-month,No,Yes,No,Yes
57,0,Yes,Month-to-month,No,No,No,No
28,0,Yes,Month-to-month,No,No,No,No
61,4,Yes,One year,No,Yes,No,Yes
68,1,Yes,Month-to-month,No,Yes,No,Yes
31,1,Yes,One year,No,Yes,No,Yes
21,1,Yes,Month-to-month,No,Yes,No,Yes
55,0,Yes,Month-to-month,No,No,No,No
47,1,Yes,Month-to-month,Yes,Yes,No,Yes
48,0,Yes,Month-to-month,No,No,No,No
79,0,Yes,Month-to-month,No,No,No,No
26,1,Yes,Month-to-month,No,Yes,No,Yes
27,0,Yes,Month-to-month,No,No,No,No
27,1,Yes,Month-to-month,No,Yes,Yes,Yes
61,1,Yes,Month-to-month,Yes,Yes,No,Yes
29,0,Yes,Month-to-month,No,No,No,No
40,0,Yes,Month-to-month,No,No,No,No
67,0,Yes,Month-to-month,No,No,Yes,No
43,0,Yes,Month-to-month,No,No,No,No
42,0,Yes,Month-to-month,No,No,No,No
35,0,Yes,Month-to-month,Yes,No,No,No
69,1,Yes,Month-to-month,No,Yes,No,Yes
41,1,Yes,Month-to-month,Yes,Yes,No,Yes
47,0,Yes,Month-to-month,No,No,No,No
56,0,Yes,Month-to-month,No,No,No,No
58,0,Yes,Month-to-month,No,No,No,No
55,1,Yes,One year,No,Yes,Yes,Yes
32,0,Yes,Month-to-month,No,Yes,No,No
40,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
37,1,Yes,Month-to-month,No,Yes,No,Yes
